date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:23:12	74768/74768	---M--	200	added ('OK')	font/woff2	etag:%225edaae89-12410%22	https://pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/webfonts/fa-brands-400.woff2	E:/github/grandtraverseboatrentals/GTBoatrentals/pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/webfonts/fa-brands-400.woff2	(from https://pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/css/all.min.css)
13:23:12	87688/87688	---M--	200	added ('OK')	font/woff	etag:%225edaae89-15688%22	https://pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/webfonts/fa-brands-400.woff	E:/github/grandtraverseboatrentals/GTBoatrentals/pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/webfonts/fa-brands-400.woff	(from https://pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/css/all.min.css)
13:23:12	129612/129612	---M--	200	added ('OK')	application/font-sfnt	etag:%221fa4c-5a75c51c13680%22	https://pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/webfonts/fa-brands-400.ttf	E:/github/grandtraverseboatrentals/GTBoatrentals/pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/webfonts/fa-brands-400.ttf	(from https://pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/css/all.min.css)
13:23:13	694583/694583	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225edaae86-a9937%22	https://pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/webfonts/fa-brands-400.svg	E:/github/grandtraverseboatrentals/GTBoatrentals/pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/webfonts/fa-brands-400.svg	(from https://pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/css/all.min.css)
13:23:13	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228654-5a75c51b1f440%22	https://pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/webfonts/fa-regular-400.eot	E:/github/grandtraverseboatrentals/GTBoatrentals/pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/webfonts/fa-regular-400.eot	(from https://pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/css/all.min.css)
13:23:13	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228654-5a75c51b1f440%22	https://pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/webfonts/fa-regular-400.eot?	E:/github/grandtraverseboatrentals/GTBoatrentals/pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/webfonts/fa-regular-400d41d.eot	(from https://pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/css/all.min.css)
13:23:13	13552/13552	---M--	200	added ('OK')	font/woff2	etag:%225edaae84-34f0%22	https://pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/webfonts/fa-regular-400.woff2	E:/github/grandtraverseboatrentals/GTBoatrentals/pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/webfonts/fa-regular-400.woff2	(from https://pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/css/all.min.css)
13:23:14	16804/16804	---M--	200	added ('OK')	font/woff	etag:%225edaae86-41a4%22	https://pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/webfonts/fa-regular-400.woff	E:/github/grandtraverseboatrentals/GTBoatrentals/pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/webfonts/fa-regular-400.woff	(from https://pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/css/all.min.css)
13:23:14	34092/34092	---M--	200	added ('OK')	application/font-sfnt	etag:%22852c-5a75c51a2b200%22	https://pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/webfonts/fa-regular-400.ttf	E:/github/grandtraverseboatrentals/GTBoatrentals/pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/webfonts/fa-regular-400.ttf	(from https://pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/css/all.min.css)
13:23:14	144451/144451	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225edaae84-23443%22	https://pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/webfonts/fa-regular-400.svg	E:/github/grandtraverseboatrentals/GTBoatrentals/pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/webfonts/fa-regular-400.svg	(from https://pro-theme.com/html/nevica/assets/fonts/fontawesome-free-5.8.1/css/all.min.css)
